SMILES,Ki [nM]
O=C(NCCCN1CCN(c2ccccc2)CC1)c1cccc2c1Cc1ccccc1-2,473.0
CSc1ccccc1N1CCN(CCCCNC(=O)c2nn3ccccc3c2)CC1,24.875110476517495
Oc1cc2c(cc1Cl)CCC(CNCc1ccccc1)O2,5.2
COc1ccccc1N1CCN(CCCCNC(=O)c2nn3ccccc3c2)CC1,212.56289913733846
COc1ccccc1N1CCN(CCCCNC(=O)Nc2cccc(Cl)c2)CC1,13.0
O=C1Cc2c(cccc2N2CCN(CCCCNC(=O)c3ccc4ccccc4c3)CC2)N1,52.0
O=C(NCCCCN1CCN(c2cccc(O)c2)CC1)c1ccc2ccccc2c1,373.0
Clc1ccc(N2CCN(Cc3c4cccc(-c5ccccc5)n4nc3)CC2)cc1,3888.444419044716
O=C(N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3OCO4)CC2)CC1)C1CCS(=O)(=O)C1,130.0
O=C(N[C@H]1CC[C@H](CCN2CCC(c3coc4ccccc34)CC2)CC1)c1ccc(N2CCS(=O)(=O)CC2)cc1,19.22
O=C(C[C@H]1COCCO1)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,1461.0
CCCN(CCC)[C@H]1CCc2c(O)cccc2C1,8.417424149495336
N#Cc1ccccc1-c1cccc(CN2CCN(c3cccc4c3oc(O)n4)CC2)c1,2.0
CCCN1CCC(c2cccc(S(C)(=O)=O)c2)CC1,11488.844589426737
Oc1cccc(C2CCN(Cc3ccccc3)CC2)c1,99.87492177719089
O=C1NCc2ccc(OCCCCN3CCN(c4cccc5c4CCOC5)CC3)cc12,11.489995648389081
Oc1nc2c(OCCNCc3ccccc3)cc(Cl)cc2[nH]1,2.6
O=C1N(CCN2CCCCCC2)CCN1c1cccc(Cl)c1,10.0
CCCN(Cc1ccc(F)cc1)[C@@H]1CCc2c(cccc2OC)C1,55.252692242098036
Cc1cccc(N2CCN(CCN3CCCCCC3)C2=O)c1,25.12
O=C1N(CCN2CCCCCC2)CCN1c1ccccc1,7.943
O=C1c2ccccc2CCCN1CCCCN1CCN(c2ccccn2)CC1,229.09
O[C@]1(c2ccc(Cl)cc2)C[C@@H]2CC[C@H](C1)N2Cc1n[nH]c2ccccc12,225.0
